id,author,thumbsup,text,# of replies,replies
UgyfRMXWb_U4rlVGdst4AaABAg,Darth Plagueis the Wise,2,Hold up he lost to Liz……😵So the dude who got lost to the worst Prime Minister has become the Prime Minister 📉🇬🇧📉🫡,0,[]
UgzUAQu6Txx2QgN-zFx4AaABAg,M.K. V.G.,0,The man who is proud of only knowing harvard graduates will beca splendid prime minister within a party despising the non-millionaires.,0,[]
UgwsGAoomnZffvB1IjN4AaABAg,Rahul Bhardwaj,0,"Let me Remind you Hitler was white, Christian and from Average household.  
judging by colour and Religion and Background is worst things most media house Doing all the time.",0,[]
UgwDt2JEFCP5lmG84vt4AaABAg,hunter higgins,0,Baba Venega,0,[]
UgxTIxo5_uW9Zws9Dbx4AaABAg,Sam freedie,4,What do you think she learned In 6 weeks that made her drop her basket and high tail it out,0,[]
Ugwg5CfJy6oKlmYNQ0Z4AaABAg,Asis Das,30,British Market recovered as soon as Rishi became the leader,3,"[""@GermanConquistador08 don't talk sense. Man wants his moment"", ""Gee, who could have saw that coming, it's almost like this was a Coup.""]"
UgxZMtI2jpczVsnlO6N4AaABAg,Michael Harrison,1,Person of color? White is not a color?!! Separatist talk is low key racist! Call ppl what’s right!! Anglo Saxon so forth and so on!,0,[]
UgyXalyHlGZHIVYjPQJ4AaABAg,ravi s,0,"But Britain is at a stage where they have to stick to FISCAL Discipline or else same thing will happen which happened to LIZ TRUss. No matter which Party forms the govt., thats the only option they have. Nothing DRAMATIC can happen after Ukraine War. On thing can happen, If US decides to follow Trumps Policies & significantly increase Oil & Gas production & sell it at 40% discount to UK, Europe & India, then story can change completely even for Joe Biden",0,[]
UgzgNTPVFEeQ11xi5kx4AaABAg,Life Illusion,2,Bhai zaldi se Kohinoor bhejde,0,[]
UgyMBYTPyug9ycPO4U14AaABAg,Mike5,2,Rishi's wife was avoiding UK Income Tax and only changed that when the Media pointed out that was not  good idea for a PM,1,[]
UgzO2K_Z8K8UBOs-god4AaABAg,Sandeep Gore,0,Hahah So racist.,0,[]
Ugy_VuESK_Gvlpy2xAR4AaABAg,getreadytotube,3,First the queen is gone and now this! Oh heavens! 👳🏿‍♂🤴🏿💶,1,['Now what?']
UgzzHjkt3n-x6m95vzd4AaABAg,Aniruddha Betta,0,Indian's (Indian origins )are successful immigrants from  English speaking countries.,0,[]
UgxkesOrZSg2wDixo_h4AaABAg,Evil Yoda,0,"No, he does not. A black, brown or woman ruling class oligarch protector isn't remotely progressive.",0,[]
Ugxpd82SCJJ2Ro4oyaR4AaABAg,Ernie Orsino,40,"Amazing videos and thank you for breaking it down!! Despite the economic downturn, I’m so happy I have been earning $2,500 returns from my $18,500 investment every 21days.",23,"[""@Pea Dookie That's what makes it legit because it's little"", ""Wow, I'm surprised it's that little. I've been earning $1,763,737,937,836,937 returns on my $1 investment every day."", 'People above me are bots ^', 'Most people remain poor only because friends and relatives discouraged and advised them against investing and trading forex while the wise ones keep investing and growing higher financially', ""@Jerry Mandela Thanks! I already have 2 income streams but I want more so that I can retire soon. I will get in touch with him right away, at least I'll be doing this together with my partner.""]"
UgyxlSLovwTvKDZyAeB4AaABAg,Lone Star,5,"100 days for this guy, 100 just to be safe",5,"['@Lone Star I’m sure you also think Biden was duly elected too lol.', '@Lone Star everyone of those citizens just trying to make it and raise a family didn’t do anything to warrent what is coming to them. It’s always the innocent that pay for the actions of their corrupt leaders. Hope you learn that lesson sooner rather than later.']"
Ugwfrut8lyb3fGxdPaF4AaABAg,Ruth Cooper,0,👀,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwSGTqpSOiaZ4tSWCt4AaABAg,TNT1138,3,England has fallen,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwY1VdFd3zhx7HfpUN4AaABAg,BLUE WINGS,12,Rishi Sunak - a British born Indian origin proud Hindu. A country that was once looked down by the colonists as a nation of savages and inferior breeding gives them their ruler 75 yrs later while India leaves behind UK in Economy. History has come full circle and racist Brits must be an unhappy lot today!,10,"[""@Em J With all due respect ur King is a toothless tiger who is just the decorative head. As for Sunak he got a thankless job but I m sure some racist Brits wud find solace in the hope that ppl wud get tired of him soon. Never mind History has been made and can't be reversed now."", ""Also....that's a good, unintentional pun.  lol"", ""@Shay Padhye She's trying to curry favor among those who despise her.""]"
UgwTInnXWqSPuZp_m6Z4AaABAg,King Aethelwulf,9,"The people of the UK never voted Sunak, we the people voted Boris, this is definitely not a democracy!. 

Call a general election!.",3,"['Sunak was born and raised in U.K.The different between you and him is the color.Being U.K.prime minister is his birth right.Let us judge him according to his character.', ""That's your system.   Change it if you don't like it."", 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzXJmTKcTH5DhRnn5d4AaABAg,Ila Hilda Sissac,18,"He has quite a different global  life, parents grew up in African countries, he grew up in England.  Good luck to him.",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugy-15NskcCiFGBWVBt4AaABAg,Shreyansh Lonkar,13,once a country who  rules  India now ruled by Indian love from India 🇮🇳,3,"['The british once subjugated india, now an indian subject is tasked to save the UK from itself.\n\nKarma is real.', 'bro this is time chakra', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwD6RyOti5d3ZHrToV4AaABAg,S coleman,2,The choice of him for prime minister is very rishi 😂,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgyIFTVgTzqomNOeE2d4AaABAg,Antonio,3,"Plus, he is cute.",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzhTWDCtmahgq9kHZl4AaABAg,Z_IN,0,"You know what, you have problem, then get the Indian....this is the slogan what your descent gonna say with very heavy heart like you are saying about electric bills",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwvLl9R2vNnieuwAiF4AaABAg,CALAYDH CHANNEL,0,Racist Leader,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugy3vGjW6PtdoBDBd114AaABAg,KushClarkKent,0,What happened to Boris? lol,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugw_HmNJUFPMakMoo8d4AaABAg,Earth Tothe,1,"UK is pathetic now, my son have seem 3 prime minster and 4 chancellor and he is 3 months old..",3,"[""Would you prefer to be stuck with jsut one PM that's awful?. Better to change them. This is democratic."", 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzGmEkO-r0QeRXmUoR4AaABAg,Wide Winger,1,"Another pick from their DS litter, nothing will change for the good.",2,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugx0Fv7YgXQgmY7-LAx4AaABAg,Ravi Sriram,2,Congratulations!,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgxJjYS1b-EJYS73Lkp4AaABAg,C Robinson,1,I feel sorry for Ukraine 😢,2,"['I feel sorry for you 😞', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugy-C-1X0XD1l8Oe2Z54AaABAg,Steve Dunn,0,They should make history by being voted in by the majority of the U.K. THIS IS A COMPLETE FARCE.,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzFl-vPGcgU1WCTh614AaABAg,Jose CFDC,0,But hes isn't white! The UK can only function with a white man at the helm!! :P,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwTpYnDmLTzFG6Es7N4AaABAg,Mr. Bongs BurgH,0,"Good thing the queens dead.....remember Dianna was pregnant with a ""OTHER""",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgxlOs7qRIXX18lshwd4AaABAg,Emily Jones,6,"Oh look, more W Replacement they keep saying isn’t happening.",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
Ugx19v_llmnlWq4DwNl4AaABAg,bjo59,0,"Rishi Sunak was groomed and then injected into the UK government at record speed (from the time he was given a no-lose MP candidacy with the other well-known Conservative candidate bowing out to basically give him the win to begin chosen as Chancellor of the Exchequer to being installed as Prime Minister without an election... all at warp speed, really).  He is a fully committed World Economic Forum agent, married to the daughter of the 6th wealthiest Tech Billionaire in India.  What a coup the UK population has had perpetrated upon it.  King Charles also is a backer of Klaus Schwab's ""Great Reset"" agenda and announced this publicly.   The only role for all western populations is to sit back quietly and watch corporate totalitarianism lock into place.  The leaders of the UK, France, Holland, Sweden, Finland, and Ukraine are all Klaus Schwab creatures.  So are the leaders of Canada and New Zealand.    Gavin Newsom is a WEF Young Global Leader too.  Mark my words, he will end up President of the United States.",1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzjKOwnitOMeo-cp0h4AaABAg,bugatti272,0,WEF puppet. RIP Britain.,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgxB7-C7uAXeSQcM6lx4AaABAg,Zk Motivation,1,”Congrats to everyone who is early and who found this comment!”😎,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzkPQGHOhNjJ8PjhsZ4AaABAg,Roy Ramnath,11,"Well, it's now free visa for 1.2 billion Indians",6,"['@D Abey I’m not sure why you’re mentioning the size of both ?😂', ""It's 1.4 b add 200 m extra."", 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️', '@D Abey well said 👏']"
Ugy5eT3vFXGV1yOiJRN4AaABAg,Debbie,3,How come we can’t change our mindless zombie n chief.. (who actually SPELLS out “dot” when giving out his own website address),2,"['😂', 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwMewmrCweGH5vF-qx4AaABAg,John Froggatt,6,"Not the first non Christian PM . Disraeli was not Christian. The main argument against Rishi is that until recently he kept his USA green card, so hos true loyalty to the UK has been under question. Having just git rid of an American born PM, Boris Johnson  do we want another one with split loyalties",2,"[""I don't think Boris's problem was that he had dual loyalties. It was the fact that he was a pathological liar (even for a politician)."", 'Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgzjcAjuJPdBGObH6vd4AaABAg,tyler vamvas,0,Hahah Britain is again even more fuqed. I bet y’all going back to the European Union,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgwTO9d_RubCMzOMdt94AaABAg,sasanka,7,"History created today..
What a great day..
It's Diwali and Rishi as PM",3,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️', 'From Trinidad 🇹🇹 ♥']"
UgzNo72pWpNJ7BCEH2l4AaABAg,The Great American Novel,10,"The Sunaks have lived in the UK for 3 generations. To call him ""Indian"" is to use a misnomer.",10,"['A rat born in a horse stable doesn’t make him a horse', '@Twilight Knight based af', ""Not to racists it isn't.""]"
UgwWn3bio31xUJLncv14AaABAg,Nazis GonnaNazi,1,Osama said what?,1,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️']"
UgxVd4gsc1K3fj5K5854AaABAg,Emsley Wyatt,4,First Vulcan to become British P.M.,3,"['Thanks for Always Watching our Videos and contents, we really appreciate. Reach out to our Admin for amazing Stock market ideas and investment guides..  *_news_* ❤️', 'Yeah right....Haters', 'Klingons must be triggered']"
