,text
137,georgia recorded donald trump blabbering needed steal state south carolina senator got lucky heck
138,miss lindseys coward
139,blatant
140,country built lies falling apart good job uncle clarence
141,go checkmate move supreme court friend high place
142,uncle tom save maga queen
143,course allow graham tell truth republicans still understand would simply job would getting called testify graham crook till got knees trump
144,people still watch racist channel
145,useless country one supreme court justice law
146,bury underneath gitmo traitors
147,oh man lmao know democrats meltdown
148,justice thomas must impeached immediately
149,thomas need rubber mallet applied forehead
150,unbelievable
151,justice thomas teeing impeachment looks
152,impeach thomas clearly maga loyalist
153,corruption supreme court hen pecked wimp thomas supports treason
154,course wifes involved plot
155,good ol msnbc probe allegations alleged election interference really really hammering home idea allegations without merit wording allegations msnbc alleged respectable news organization
156,get individually decide anything institutions forever
157,well look good
158,checks balance joke ridicoulus
159,wrong justice thomas dangerous threat supreme court something must done
160,glad supreme court corrupt awesome
161,course came ginnied uncle thomas
162,thomas guy seems shady
163,truth justice important democracy clarence thomas fair legitimate judge
164,guess sc works frump organization company private criminal law office
165,maga gang play delay strategy
166,well wife involved gotta block get criminals ride together
167,birds feather flock together
168,time put term limits supreme court lifetime appointment absurd unless justices start accidentally falling windows like russia
169,long mother tells thomas remain spineless snake
170,seeing wife questioned jan th committee thomas allowed rule words conflict interest longer meaning graham testify likes talk big senate floor man wussy guy well many republicans talk tough go th amendment shrivel look way fan hillary trent gowdy stand something like hours go th amendment refuse testify nope stood took coming unlike big talking republican
171,wow bit surprised
172,person qualified justice
173,ct needs recuse
174,let guess corrupt jan judge treasonous wife wouldnt work way
175,open corruption shame
176,guess guilty
177,birds build nest ur skin bones ill last e live alone final ghost
178,crooked supreme court supporters dirty people line commenting ur employers putin scum china scum iran scum earth china scums hungry scums italy right psycho wing scum theres paying people comment beating nice totalitarian communist dictatorship countries
179,america justice injustice poor preferential justice rich empowered power
180,cares anything man named lindsey say
181,thomas impeached corrupt finances investigated
182,pmsnbc really obsessed jan americans world moved horrible people dont care pmsnbc trying cling relevancy much ratings tanking since madcow left
183,proof justice clarence thomas criminal
184,justice thomas whos wife mess protects criminalsand chief roberts wonders lack confidence court
185,thomas recused anything jan
186,wtf us system broken
187,course
188,vote blue
189,next bench see clarence one park bums feeding pigeons
190,wow wow thomas removed
191,justice thomas going block testimony session wife front congress point temporary stay first place stalling tactic run clock time build defense trying get past jan committee life time current admin wonder coached jim jordan ways running clock used sports wondering come mind help
192,clarence thomas always embarrassment nation purely party hack never selected much like kavanaugh trump appointed supreme court justices egregious crimes yet miraculously approved members supreme court liberal judge anything even close something like people would ever approved let alone nominated well past time something done allow us remove supreme court justice clearly capable separating rulings political opinion versus ruins based actual law
