,video_id,channel_id,date_published,video_title,view_count ,like_count,comment_count,view_count
0,9bZkp7q19f0,UCrDkAvwZum-UTjHmzDI2iIw,2012-07-15T07:46:32Z,PSY - GANGNAM STYLE(강남스타일) M/V,,25860244,5332065,4582751936
1,CevxZvSJLk8,UC-8Q-hLdECwQmaWNwXitYDw,2013-09-05T20:00:22Z,Katy Perry - Roar (Official),,15586013,760708,3673686440
2,KQ6zr6kCPj8,UCk78ZcA6kflEvBR0UrGDH0Q,2011-03-09T06:02:38Z,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",,10841926,648580,2223212377
3,pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q,2010-06-04T22:30:35Z,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),,18491759,1233403,3274175841
4,uelHwf8o7_U,UC20vb-R_px4CguHzzBPhoyQ,2010-08-05T19:09:46Z,Eminem - Love The Way You Lie ft. Rihanna,,12441625,597028,2488042269
