id,author,thumbsup,text,# of replies,replies
UgyUrbvTj0TAhoOf4bV4AaABAg,Paul Hepker,1,"This band makes me soooo happy. This song in particular illustrates what can happen when 19 incredible musicians put aside their egos, and collectively make something so meticulously planned sound so incredibly free and spontaneous and joyful. 

This reminds me of my Brecker Brothers days, the days of Weckl and Pattatucci. And before that - of Michel Colombier’s “Wings”. Or Klaus Ogermann’s “Symbiosis”, Miles’ “Btiches Brew”. 

But how cool to record this album in front of a live audience? For the band and listeners to feed off of each other. Must have been ecstatic. (I hope I hear about the next one before it happens!)

This may be too slick for some, or too jazzy - but for me it’s Bach Escher Gödel - these intricate lines interacting and mirroring and counterpointing, always compelling, always driving. 

This music of Empire Central is alive, and thriving. And heartbreakingly beautiful. Thanks for making me forget - if only for a moment - how lost and divided we are as humans. Capable of great harm and destruction, but also with such an innate capacity for cooperation and co-creation. 

Viva Snarky Puppy!",0,[]
UgwEX0a52STNzgUEocV4AaABAg,Luckyiscrazy,1,"2:47-3:14 the buildup here is insane. Wouldn't call this driving music by any means, but this came on while I was driving and before I knew it I was cutting up traffic.",0,[]
Ugx9fg4q47PUiG_euvR4AaABAg,justin odowd,1,"Spiritual performance,just outstanding.",0,[]
Ugy5gxUaKTCQrlhJ-g54AaABAg,eric Wilhelm,1,so much Love in that Room,0,[]
UgwN7OlkUMeNu_Aod1d4AaABAg,Digital Kite Aerial Photography & Videography,0,which limb would like for me to be able to get an earphone & just sit in & listen? good god this is satisfying to listen to!,0,[]
UgwLktVeCj5atZ9pKut4AaABAg,chemariz,0,Ten points if u can find the only girl in the room,0,[]
UgzIZD2NlULLDFRZEb14AaABAg,The Ianist,0,that guy at 05:09 haha,0,[]
Ugxp_zUY5iQ_JxPjDWJ4AaABAg,Rachid van Heyningen,0,4:19 FKJ & MASEGO lol,0,[]
UgzGNFQ2rx7rOzyaWBB4AaABAg,Pebbles Stone,0,They always come with something Fresh !  They keep music interesting !!! 💥💥💥💯 Felt so good y'all went to church on me.,0,[]
Ugzp51w8DIqjGLbYhcx4AaABAg,Ralph Miller III,0,I always find it amazing how they have these long sessions without sheet music.,0,[]
UgzNo_R28gpCMJhxunF4AaABAg,eric Wilhelm,0,at around 11:40 i hear some 'Ancients Vibes ' from the Faces Album ........EWF.      Snarky is pulling it off ....GENIUS,0,[]
Ugx61WG8jbm1fdTWjiB4AaABAg,khatunatabatadze,0,აუჰ,0,[]
Ugz1kFQV2Zx7zNeYvp94AaABAg,Brett Gregory,0,"​ @C Harris  Although I would love to see a Double Bassist added to this hot band. They could play lead licks over Michael League's solid anchor (and interchange), in the same way that iVan Morrison had in his band about 25 years ago – it works super well. Van had Nicky Scott on Electric and Alec Dankworth on Double. That would make it a nice round 20 piece band.

Hell, why stop at one eh? Add another two Double Bassists with bows on top of the fingers guy! 😁",0,[]
UgxAhQVYYbSaM3xZ_Z14AaABAg,Paul Beard,0,WOW just listened to you guys for the first time and you just blew me away. Thanks!,0,[]
Ugz4aQ2JcIIysNJF7F14AaABAg,Christopher PINGO Gomes,0,"Que maravilha ouvir isso, eu estaria igual ao Martin certeza kkkkkkk",0,[]
UgylnPo-ARY4YNPOsIR4AaABAg,Kay H.,1,"Question is....HOW MANY HOURS DID LARNELL LEWIS GET THIS TIME, TO LEARN EVERY SONG??",0,[]
Ugzn0pf-BafNS4zWSv94AaABAg,kingdomradical,0,They took it to church at the end!!! 🔥🔥🔥,0,[]
Ugyo1UaHvEQ9EUsuTaF4AaABAg,Tuure,0,This is sick!,0,[]
UgyqWKIX_S1l5WrLWl54AaABAg,J K,0,This reminds me of We Like it Here. I'm very excited to hear the rest of the album.,0,[]
UgwnSDI1VIy8KMoJf3R4AaABAg,ngethe kiongo,0,"Random thought.

 Snarky Puppy plus Jacob Collier.
Can our minds take it?",4,"[""about Don't You Know?"", ""Don't you know?""]"
